id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
196,Cogs,,Steam,N,Beaten,,,,11/23/2012,11/23/2012,,
197,Core Pack,,Steam,N,Beaten,,,,,11/24/2013,,
198,Counter-Strike: Source,,Steam,N,Infinite,,,,,,,
199,Counter-Strike: Source Beta,,Steam,N,Infinite,,,,,,,
200,Darwinia,,Steam,N,Infinite,,,,,,,
201,Day of Defeat: Source,,Steam,N,Beaten,,,,,,,
202,DEFCON,,Steam,N,Beaten,,,,,11/23/2012,,
203,DiRT 3 Complete Edition,,Steam,N,Beaten,,,,,,,
204,Droplitz,,Steam,N,Beaten,,,,,,,
205,Due Process,,Steam,N,Wish List,,,,,,,
206,Dunk Lords,,Steam,N,Wish List,,,,,,,
207,Earth Defense Table,,Steam,N,Beaten,,,,,11/24/2013,,
208,Eufloria,,Steam,N,Beaten,,,,,2/28/2013,,
209,Eufloria HD,,Steam,N,Beaten,,,,,7/12/2015,,
210,Galcon Fusion,,Steam,N,Beaten,,,,,,,
211,Geometry Wars: Retro Evolved,,Steam,N,Completed,,,,,,11/24/2012,
212,Grand Theft Auto,,Steam,N,Infinite,,,,,,,
213,Grand Theft Auto III,,Steam,N,Beaten,,,,7/17/2013,7/19/2013,,
214,Grand Theft Auto: San Andreas,,Steam,N,Beaten,,,,,,,
215,Grand Theft Auto: Vice City,,Steam,N,Beaten,,,,9/22/2013,8/15/2014,,
216,Half-Life 2,,Steam,N,Beaten,,,,,,,
217,Half-Life 2: Deathmatch,,Steam,N,Infinite,,,,,,,
218,Half-Life 2: Episode One,,Steam,N,Beaten,,,,,2/22/2013,,
219,Half-Life 2: Episode Two,,Steam,N,Beaten,,,,2/22/2013,2/24/2013,,
220,Lumines,,Steam,N,Beaten,,,,,11/23/2012,,
221,Paranormal Table,,Steam,N,Beaten,,,,,11/24/2013,,
222,Plain Sight,,Steam,N,Beaten,,,,,,,
223,Portal,,Steam,N,Beaten,,,,,,,
224,Portal 2,,Steam,N,Beaten,,,,,7/10/2013,,
225,Puzzle Agent,,Steam,N,Completed,,,,3/8/2013,3/10/2013,3/10/2013,
226,Puzzle Dimension,,Steam,N,Beaten,,,,,3/19/2013,,
227,QuantZ,,Steam,N,Beaten,,,,,,,
228,Rhythm Zone,,Steam,N,Beaten,,,,,,,
229,Sid Meier's Civilization 5,,Steam,N,Beaten,,,,,,,
230,Sorcerer's Lair,,Steam,N,Beaten,,,,,11/24/2013,,
231,Super Laser Racer,,Steam,N,Beaten,,,,,,,
232,Team Fortress 2,,Steam,N,Beaten,,,,,,,
233,Torchlight,,Steam,N,Completed,,,,,3/8/2013,1/7/2018,
234,Turba,,Steam,N,Beaten,,,,,,,
235,VVVVVV,,Steam,N,Beaten,,,,,,,
236,Zen Classics Pack,,Steam,N,Beaten,,,,,11/24/2013,,
237,Wii Sports Resort,,Wii,N,Infinite,44,26,10/22/2009,10/22/2009,10/22/2009,10/22/2009,
238,Mario Golf,,VC,N,Completed,60,8,12/25/2009,12/25/2009,12/25/2009,12/31/2016,
239,Mega Man 9,,VC,N,Beaten,28,43,12/25/2009,12/25/2009,3/15/2013,,
